"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","123","Token test","chromium","Fri Aug 08 12:50:44 UTC 2025","failed","Fri Aug 08 12:50:44 UTC 2025","Regression negative","regression.spec.ts","",""
"","388","Blockchain - block 18541417","chromium","Fri Aug 08 12:50:38 UTC 2025","passed","Fri Aug 08 12:50:38 UTC 2025","Regression positive","regression.spec.ts","",""
"","163","Blockchain","chromium","Fri Aug 08 12:50:48 UTC 2025","failed","Fri Aug 08 12:50:48 UTC 2025","Regression negative","regression.spec.ts","",""
"","987","Token test - LINK","chromium","Fri Aug 08 12:50:36 UTC 2025","passed","Fri Aug 08 12:50:37 UTC 2025","Regression positive","regression.spec.ts","",""
"","1082","Wallet test - 0x1f9090aaE28b8a3dCeaDf281B0F12828e676c326","chromium","Fri Aug 08 12:50:33 UTC 2025","passed","Fri Aug 08 12:50:34 UTC 2025","Regression positive","regression.spec.ts","",""
"","583","Token test - pepe","chromium","Fri Aug 08 12:50:35 UTC 2025","passed","Fri Aug 08 12:50:35 UTC 2025","Regression positive","regression.spec.ts","",""
"","389","Blockchain - block 18541416","chromium","Fri Aug 08 12:50:37 UTC 2025","passed","Fri Aug 08 12:50:38 UTC 2025","Regression positive","regression.spec.ts","",""
"","89","Wallet test","chromium","Fri Aug 08 12:50:40 UTC 2025","failed","Fri Aug 08 12:50:40 UTC 2025","Regression negative","regression.spec.ts","",""
"","363","Blockchain - block 18541415","chromium","Fri Aug 08 12:50:37 UTC 2025","passed","Fri Aug 08 12:50:37 UTC 2025","Regression positive","regression.spec.ts","",""
"","248","Wallet test - 0xd0ec028a3d21533fdd200838f39c85b03679285d","chromium","Fri Aug 08 12:50:34 UTC 2025","passed","Fri Aug 08 12:50:34 UTC 2025","Regression positive","regression.spec.ts","",""
"","457","Token test - swETH","chromium","Fri Aug 08 12:50:35 UTC 2025","passed","Fri Aug 08 12:50:36 UTC 2025","Regression positive","regression.spec.ts","",""
"","259","Wallet test - 0x48bf52fc96fb5c17dd780a8c5396abc2c9974fda","chromium","Fri Aug 08 12:50:34 UTC 2025","passed","Fri Aug 08 12:50:35 UTC 2025","Regression positive","regression.spec.ts","",""
